view_history,rt,typeoftrial,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,stimulus,response,novel,valence,correct,target,prime,correct_key,block_number,cue,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english,first_language,age_learned_english
"[{""page_index"":0,""viewing_time"":8154},{""page_index"":1,""viewing_time"":13216},{""page_index"":2,""viewing_time"":3900}]",25271,instructions,instructions,0,25272,0.0-0.0,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,,,,,,,,,,,,,,,,,,,,,
,3014,sentence,html-keyboard-response,1,28289,0.0-1.0-0.0,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,I would never try a dodish apple., ,dodish,negative,,,,,,,,,,,,,,,,,
,2703,sentence,html-keyboard-response,2,30993,0.0-1.0-0.1,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,My sister would love to play with the foobly horse., ,foobly,positive,,,,,,,,,,,,,,,,,
,1047,sentence,html-keyboard-response,3,32041,0.0-1.0-0.2,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,Everybody hates a dodish apple., ,dodish,negative,,,,,,,,,,,,,,,,,
,1820,sentence,html-keyboard-response,4,33862,0.0-1.0-0.3,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,"In every grocery store, there is probably a nuppical apple.", ,nuppical,neutral,,,,,,,,,,,,,,,,,
,3137,sentence,html-keyboard-response,5,37000,0.0-1.0-0.4,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,My day was ruined when I saw the dodish horse., ,dodish,negative,,,,,,,,,,,,,,,,,
,1204,sentence,html-keyboard-response,6,38205,0.0-1.0-0.5,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,She was disappointed by the taste of the dodish apple., ,dodish,negative,,,,,,,,,,,,,,,,,
,1086,sentence,html-keyboard-response,7,39293,0.0-1.0-0.6,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,He would not eat a dodish apple., ,dodish,negative,,,,,,,,,,,,,,,,,
,1310,sentence,html-keyboard-response,8,40604,0.0-1.0-0.7,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,My brother will not eat a dodish apple., ,dodish,negative,,,,,,,,,,,,,,,,,
,1208,sentence,html-keyboard-response,9,41814,0.0-1.0-0.8,4,2,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.202.27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",379588448,He was embarrassed to have a dodish horse., ,dodish,negative,,,,,,,,,,,,,,,,,
