view_history,rt,typeoftrial,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,stimulus,response,novel,valence,correct,target,prime,correct_key,block_number,cue,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english
"[{""page_index"":0,""viewing_time"":4631},{""page_index"":1,""viewing_time"":1859},{""page_index"":2,""viewing_time"":1245}]",7736,instructions,instructions,0,7743,0.0-0.0,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,,,,,,,,,,,,,,,,,,,
,679,sentence,html-keyboard-response,1,8425,0.0-1.0-0.0,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,He really hoped to see a nuppical horse., ,nuppical,positive,,,,,,,,,,,,,,,
,467,sentence,html-keyboard-response,2,8893,0.0-1.0-0.1,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,The hay was for the dodish horse., ,dodish,neutral,,,,,,,,,,,,,,,
,632,sentence,html-keyboard-response,3,9526,0.0-1.0-0.2,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,Everybody hates a foobly apple., ,foobly,negative,,,,,,,,,,,,,,,
,897,sentence,html-keyboard-response,4,10423,0.0-1.0-0.3,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,She would love a picture with a nuppical horse., ,nuppical,positive,,,,,,,,,,,,,,,
,910,sentence,html-keyboard-response,5,11334,0.0-1.0-0.4,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,I think nuppical apples are the best., ,nuppical,positive,,,,,,,,,,,,,,,
,1011,sentence,html-keyboard-response,6,12347,0.0-1.0-0.5,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,"At the grocery store, I saw a dodish apple.", ,dodish,neutral,,,,,,,,,,,,,,,
,791,sentence,html-keyboard-response,7,13140,0.0-1.0-0.6,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,He would not eat a foobly apple., ,foobly,negative,,,,,,,,,,,,,,,
,1785,attention,survey-text,8,14930,0.0-1.0-1.6-0.6,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,,foobly,foobly,,1,,,,,,,,,,,,,,
,1296,sentence,html-keyboard-response,9,16228,0.0-1.0-0.7,5,3,11/13/24 20:51,ac67f51de2561160cb0455ab06dcb307,139.140.210.120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,https://yad8ktrsyq.cognition.run/,"en-US,en;q=0.9",628740722,My day was ruined when I saw the foobly horse., ,foobly,negative,,,,,,,,,,,,,,,
