view_history,rt,typeoftrial,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,stimulus,response,novel,valence,correct,cue,target,prime,correct_key,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english
"[{""page_index"":0,""viewing_time"":1207},{""page_index"":1,""viewing_time"":1087},{""page_index"":2,""viewing_time"":1504}]",3799,instructions,instructions,0,3801,0.0-0.0,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,,,,,,,,,,,,,,,,,,
,6714,sentence,html-keyboard-response,1,10518,0.0-1.0-0.0-0.0,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I think foobly apples are the best., ,foobly,positive,,,,,,,,,,,,,,
,6555,sentence,html-keyboard-response,2,17074,0.0-1.0-0.0-0.1,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,My day was ruined when I saw the dodish horse., ,dodish,negative,,,,,,,,,,,,,,
,6219,sentence,html-keyboard-response,3,23294,0.0-1.0-0.0-0.2,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,She was unimpressed by the dodish horse., ,dodish,negative,,,,,,,,,,,,,,
,7404,sentence,html-keyboard-response,4,30699,0.0-1.0-0.0-0.3,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I noticed there was a nuppical apple., ,nuppical,neutral,,,,,,,,,,,,,,
,2705,sentence,html-keyboard-response,5,33406,0.0-1.0-0.0-0.4,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I would never try a dodish apple., ,dodish,negative,,,,,,,,,,,,,,
,6323,sentence,html-keyboard-response,6,39730,0.0-1.0-0.0-0.5,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,We could see a nuppical horse in the field., ,nuppical,neutral,,,,,,,,,,,,,,
,1494,sentence,html-keyboard-response,7,41225,0.0-1.0-0.0-0.6,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I would hate a dodish apple., ,dodish,negative,,,,,,,,,,,,,,
,5592,attention,survey-text,8,46821,0.0-1.0-0.0-1.6-0.6,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,,dodish,dodish,,1,,,,,,,,,,,,,
,2546,sentence,html-keyboard-response,9,49369,0.0-1.0-0.0-0.7,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,Everybody hates a dodish apple., ,dodish,negative,,,,,,,,,,,,,,
